venue,year,identifier,heading,title,authors,page_range,length,electronic_edition,comment
icml,2024,conf/icml/icml2024,,Position: Technical Research and Talent is Needed for Effective AI Governance.,Anka Reuel; Lisa Soder; Benjamin Bucknall; Trond Arne Undheim,,0,https://openreview.net/forum?id=Be2B6f0ps1,
icml,2024,conf/icml/icml2024,,Bottleneck-Minimal Indexing for Generative Document Retrieval.,Xin Du; Lixin Xiu; Kumiko Tanaka-Ishii,,0,https://openreview.net/forum?id=MFPYCvWsNR,
icml,2024,conf/icml/icml2024,,Hybrid2 Neural ODE Causal Modeling and an Application to Glycemic Response.,Bob Junyi Zou; Matthew E. Levine; Dessi P. Zaharieva; Ramesh Johari; Emily B. Fox,,0,https://openreview.net/forum?id=GHZVjmaGQM,
icml,2024,conf/icml/icml2024,,FedMBridge: Bridgeable Multimodal Federated Learning.,Jiayi Chen; Aidong Zhang,,0,https://openreview.net/forum?id=jrHUbftLd6,
icml,2024,conf/icml/icml2024,,How do Large Language Models Navigate Conflicts between Honesty and Helpfulness?,Ryan Liu; Theodore R. Sumers; Ishita Dasgupta; Thomas L. Griffiths,,0,https://openreview.net/forum?id=685vj0lC9z,
icml,2024,conf/icml/icml2024,,Weak-to-Strong Generalization: Eliciting Strong Capabilities With Weak Supervision.,Collin Burns; Pavel Izmailov; Jan Hendrik Kirchner; Bowen Baker; Leo Gao; Leopold Aschenbrenner; Yining Chen; Adrien Ecoffet; Manas Joglekar; Jan Leike; Ilya Sutskever; Jeffrey Wu,,0,https://openreview.net/forum?id=ghNRg2mEgN,
icml,2024,conf/icml/icml2024,,ACE: Off-Policy Actor-Critic with Causality-Aware Entropy Regularization.,Tianying Ji; Yongyuan Liang; Yan Zeng; Yu Luo; Guowei Xu; Jiawei Guo; Ruijie Zheng; Furong Huang; Fuchun Sun; Huazhe Xu,,0,https://openreview.net/forum?id=1puvYh729M,
icml,2024,conf/icml/icml2024,,Expressivity and Generalization: Fragment-Biases for Molecular GNNs.,Tom Wollschläger; Niklas Kemper; Leon Hetzel; Johanna Sommer; Stephan Günnemann,,0,https://openreview.net/forum?id=rPm5cKb1VB,
icml,2024,conf/icml/icml2024,,Theoretical Analysis of Learned Database Operations under Distribution Shift through Distribution Learnability.,Sepanta Zeighami; Cyrus Shahabi,,0,https://openreview.net/forum?id=oowQ8LPA12,
icml,2024,conf/icml/icml2024,,Position: A Safe Harbor for AI Evaluation and Red Teaming.,Shayne Longpre; Sayash Kapoor; Kevin Klyman; Ashwin Ramaswami; Rishi Bommasani; Borhane Blili-Hamelin; Yangsibo Huang; Aviya Skowron; Zheng Xin Yong; Suhas Kotha; Yi Zeng; Weiyan Shi; Xianjun Yang; Reid Southen; Alexander Robey; Patrick Chao; Diyi Yang; Ruoxi Jia; Daniel Kang; Sandy Pentland; Arvind Narayanan; Percy Liang; Peter Henderson,,0,https://openreview.net/forum?id=dLojMSgSFW,
